 (1.8462+0.2847j), (nan+nanj), (nan+nanj), (-0.2008-0.0470j), (0.0982-0.0086j)
 (1.8545+0.2639j), (nan+nanj), (nan+nanj), (-0.1995-0.0435j), (0.0990-0.0083j)
 (1.8626+0.2405j), (nan+nanj), (nan+nanj), (-0.1984-0.0396j), (0.0997-0.0078j)
 (1.8703+0.2149j), (nan+nanj), (nan+nanj), (-0.1974-0.0353j), (0.1004-0.0071j)
 (1.8774+0.1875j), (nan+nanj), (nan+nanj), (-0.1967-0.0308j), (0.1011-0.0064j)
 (1.8837+0.1585j), (nan+nanj), (nan+nanj), (-0.1961-0.0260j), (0.1016-0.0055j)
 (1.8890+0.1283j), (nan+nanj), (nan+nanj), (-0.1956-0.0210j), (0.1021-0.0045j)
 (1.8932+0.0970j), (nan+nanj), (nan+nanj), (-0.1953-0.0158j), (0.1025-0.0035j)
 (1.8962+0.0651j), (nan+nanj), (nan+nanj), (-0.1951-0.0106j), (0.1027-0.0023j)
 (1.8979+0.0328j), (nan+nanj), (nan+nanj), (-0.1950-0.0053j), (0.1029-0.0012j)
 (1.8983+0.0003j), (nan+nanj), (nan+nanj), (-0.1951-0.0001j), (0.1029-0.0000j)
 (1.8975-0.0320j), (nan+nanj), (nan+nanj), (-0.1953+0.0052j), (0.1028+0.0012j)
 (1.8953-0.0638j), (nan+nanj), (nan+nanj), (-0.1956+0.0104j), (0.1025+0.0023j)
 (1.8920-0.0949j), (nan+nanj), (nan+nanj), (-0.1960+0.0155j), (0.1022+0.0033j)
 (1.8875-0.1250j), (nan+nanj), (nan+nanj), (-0.1966+0.0204j), (0.1017+0.0043j)
 (1.8821-0.1538j), (nan+nanj), (nan+nanj), (-0.1974+0.0251j), (0.1011+0.0052j)
 (1.8759-0.1810j), (nan+nanj), (nan+nanj), (-0.1983+0.0296j), (0.1005+0.0060j)
 (1.8690-0.2062j), (nan+nanj), (nan+nanj), (-0.1993+0.0338j), (0.0998+0.0066j)
 (1.8617-0.2292j), (nan+nanj), (nan+nanj), (-0.2006+0.0375j), (0.0991+0.0071j)
 (1.8542-0.2496j), (nan+nanj), (nan+nanj), (-0.2020+0.0408j), (0.0983+0.0075j)
 (1.8468-0.2670j), (nan+nanj), (nan+nanj), (-0.2035+0.0436j), (0.0975+0.0077j)
 (1.8399-0.2811j), (nan+nanj), (nan+nanj), (-0.2053+0.0457j), (0.0967+0.0078j)
 (1.8336-0.2913j), (nan+nanj), (nan+nanj), (-0.2073+0.0471j), (0.0959+0.0077j)
 (1.8283-0.2974j), (nan+nanj), (nan+nanj), (-0.2094+0.0477j), (0.0951+0.0075j)
 (1.8243-0.2987j), (nan+nanj), (nan+nanj), (-0.2116+0.0475j), (0.0943+0.0072j)
 (1.8219-0.2947j), (nan+nanj), (nan+nanj), (-0.2140+0.0462j), (0.0937+0.0067j)
 (1.8211-0.2849j), (nan+nanj), (nan+nanj), (-0.2163+0.0440j), (0.0930+0.0062j)
 (1.8222-0.2687j), (nan+nanj), (nan+nanj), (-0.2187+0.0408j), (0.0924+0.0055j)
 (1.8248-0.2455j), (nan+nanj), (nan+nanj), (-0.2210+0.0366j), (0.0919+0.0048j)
 (1.8288-0.2151j), (nan+nanj), (nan+nanj), (-0.2231+0.0314j), (0.0915+0.0041j)
 (1.8335-0.1774j), (nan+nanj), (nan+nanj), (-0.2250+0.0255j), (0.0911+0.0032j)
 (1.8382-0.1328j), (nan+nanj), (nan+nanj), (-0.2265+0.0188j), (0.0908+0.0023j)
